spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
7/5/17,9x,7/5/17,agitator,jeans,no,UV,24.8682,NA,3,13
7/5/17,9x,7/5/17,agitator,100 tshirt,no,UV,10.7456,NA,3,13
7/5/17,9x,7/5/17,agitator,50:50 tshirt,no,UV,15.4379,NA,3,13
7/5/17,9x,7/5/17,agitator,onesie,no,WND,2.5439,NA,3,13
7/5/17,9x,7/5/17,agitator,workshirt,no,WND,7.117,NA,3,13
7/5/17,9x,7/5/17,agitator,jeans,no,WND,24.1408,NA,3,13
7/5/17,9x,7/5/17,agitator,100 tshirt,no,WND,9.4682,NA,3,13
7/5/17,9x,7/5/17,agitator,50:50 tshirt,no,WND,11.4194,NA,3,13
7/5/17,9x,7/5/17,agitator,onesie,yes,NA,1.8951,NA,3,13
7/5/17,9x,7/5/17,agitator,workshirt,yes,NA,9.788,NA,3,13
7/5/17,9x,7/5/17,agitator,jeans,yes,NA,23.7829,NA,3,13
7/5/17,9x,7/5/17,agitator,100 tshirt,yes,NA,11.526,NA,3,13
7/5/17,9x,7/5/17,agitator,50:50 tshirt,yes,NA,13.3378,NA,3,13
7/5/17,9x,7/5/17,agitator,onesie,no,CL,1.8232,NA,3,13
7/5/17,9x,7/5/17,agitator,workshirt,no,CL,7.6129,NA,3,13
7/5/17,9x,7/5/17,agitator,jeans,no,CL,25.2457,NA,3,13
7/5/17,9x,7/5/17,agitator,100 tshirt,no,CL,8.5217,NA,3,13
7/5/17,9x,7/5/17,agitator,50:50 tshirt,no,CL,12.5448,NA,3,13
7/5/17,9x,7/5/17,HE,onesie,no,UV,1.198,NA,3,14
7/5/17,9x,7/5/17,HE,workshirt,no,UV,7.2359,NA,3,14
7/5/17,9x,7/5/17,HE,jeans,no,UV,10.6265,NA,3,14
7/5/17,9x,7/5/17,HE,100 tshirt,no,UV,10.9647,NA,3,14
7/5/17,9x,7/5/17,HE,50:50 tshirt,no,UV,11.3216,NA,3,14
7/5/17,9x,7/5/17,HE,onesie,no,WND,1.2946,NA,3,14
7/5/17,9x,7/5/17,HE,workshirt,no,WND,6.3242,NA,3,14
7/5/17,9x,7/5/17,HE,jeans,no,WND,8.7956,NA,3,14
7/5/17,9x,7/5/17,HE,100 tshirt,no,WND,10.1856,NA,3,14
7/5/17,9x,7/5/17,HE,50:50 tshirt,no,WND,6.3909,NA,3,14
7/5/17,9x,7/5/17,HE,onesie,yes,NA,2.3628,NA,3,14
7/5/17,9x,7/5/17,HE,workshirt,yes,NA,8.349,NA,3,14
7/5/17,9x,7/5/17,HE,jeans,yes,NA,22.2528,NA,3,14
7/5/17,9x,7/5/17,HE,100 tshirt,yes,NA,8.3927,NA,3,14
7/5/17,9x,7/5/17,HE,50:50 tshirt,yes,NA,11.3489,NA,3,14
7/5/17,9x,7/5/17,HE,onesie,no,CL,1.2448,NA,3,14
7/5/17,9x,7/5/17,HE,workshirt,no,CL,6.8804,NA,3,14
7/5/17,9x,7/5/17,HE,jeans,no,CL,22.0788,NA,3,14
7/5/17,9x,7/5/17,HE,100 tshirt,no,CL,7.6259,NA,3,14
7/5/17,9x,7/5/17,HE,50:50 tshirt,no,CL,8.3937,NA,3,14
7/5/17,9x,7/6/17,none,workshirt,no,NA,43.7906,NA,3,18
7/5/17,9x,7/6/17,none,jeans,no,NA,42.758,NA,3,18
7/5/17,9x,7/6/17,none,100 tshirt,no,NA,35.7028,NA,3,18
7/5/17,9x,7/6/17,none,50:50 tshirt,no,NA,34.9292,NA,3,18
7/5/17,9x,7/6/17,agitator,onesie,no,UV,0.7246,NA,3,16
7/5/17,9x,7/6/17,agitator,workshirt,no,UV,5.5623,NA,3,16
7/5/17,9x,7/6/17,agitator,jeans,no,UV,31.0064,NA,3,16
7/5/17,9x,7/6/17,agitator,100 tshirt,no,UV,16.9477,NA,3,16
7/5/17,9x,7/6/17,agitator,50:50 tshirt,no,UV,21.7545,NA,3,16
7/5/17,9x,7/6/17,agitator,onesie,no,WND,1.294,NA,3,16
7/5/17,9x,7/6/17,agitator,workshirt,no,WND,12.6585,NA,3,16
7/5/17,9x,7/6/17,agitator,jeans,no,WND,32.0618,NA,3,16
7/5/17,9x,7/6/17,agitator,100 tshirt,no,WND,16.2529,NA,3,16
7/5/17,9x,7/6/17,agitator,50:50 tshirt,no,WND,19.1519,NA,3,16
7/5/17,9x,7/6/17,agitator,onesie,yes,NA,3.4225,NA,3,16
7/5/17,9x,7/6/17,agitator,workshirt,yes,NA,11.7439,NA,3,16
7/5/17,9x,7/6/17,agitator,jeans,yes,NA,28.047,NA,3,16
7/5/17,9x,7/6/17,agitator,100 tshirt,yes,NA,18.3449,NA,3,16
7/5/17,9x,7/6/17,agitator,50:50 tshirt,yes,NA,18.2976,NA,3,16
7/5/17,9x,7/6/17,agitator,onesie,no,CL,1.3716,NA,3,16
7/5/17,9x,7/6/17,agitator,workshirt,no,CL,16.034,NA,3,16
7/5/17,9x,7/6/17,agitator,jeans,no,CL,30.0547,NA,3,16
7/5/17,9x,7/6/17,agitator,100 tshirt,no,CL,14.9117,NA,3,16
7/5/17,9x,7/6/17,agitator,50:50 tshirt,no,CL,18.8032,NA,3,16
7/5/17,9x,7/6/17,HE,onesie,no,UV,0.7427,NA,3,17
7/5/17,9x,7/6/17,HE,workshirt,no,UV,6.1309,NA,3,17
7/5/17,9x,7/6/17,HE,jeans,no,UV,12.7041,NA,3,17
7/5/17,9x,7/6/17,HE,100 tshirt,no,UV,6.2833,NA,3,17
7/5/17,9x,7/6/17,HE,50:50 tshirt,no,UV,5.3296,NA,3,17
7/5/17,9x,7/6/17,HE,onesie,no,WND,1.4709,NA,3,17
7/5/17,9x,7/6/17,HE,workshirt,no,WND,12.1762,NA,3,17
7/5/17,9x,7/6/17,HE,jeans,no,WND,23.8754,NA,3,17
7/5/17,9x,7/6/17,HE,100 tshirt,no,WND,12.705,NA,3,17
7/5/17,9x,7/6/17,HE,50:50 tshirt,no,WND,11.0618,NA,3,17
7/5/17,9x,7/6/17,HE,onesie,yes,NA,1.5169,NA,3,17
7/5/17,9x,7/6/17,HE,workshirt,yes,NA,10.2201,NA,3,17
7/5/17,9x,7/6/17,HE,jeans,yes,NA,24.6958,NA,3,17
7/5/17,9x,7/6/17,HE,100 tshirt,yes,NA,14.3598,NA,3,17
7/5/17,9x,7/6/17,HE,50:50 tshirt,yes,NA,17.3651,NA,3,17
7/5/17,9x,7/6/17,HE,onesie,no,CL,1.1313,NA,3,17
7/5/17,9x,7/6/17,HE,workshirt,no,CL,14.0267,NA,3,17
7/5/17,9x,7/6/17,HE,jeans,no,CL,25.9189,NA,3,17
7/5/17,9x,7/6/17,HE,100 tshirt,no,CL,15.0159,NA,3,17
7/5/17,9x,7/6/17,HE,50:50 tshirt,no,CL,13.8323,NA,3,17
7/12/17,9x,7/12/17,none,workshirt,no,NA,20.4481,NA,4,21
7/12/17,9x,7/12/17,none,jeans,no,NA,18.7024,NA,4,21
7/12/17,9x,7/12/17,none,100 tshirt,no,NA,13.4777,NA,4,21
7/12/17,9x,7/12/17,none,50:50 tshirt,no,NA,17.2609,NA,4,21
7/12/17,9x,7/12/17,agitator,onesie,no,UV,1.0586,NA,4,19
7/12/17,9x,7/12/17,agitator,workshirt,no,UV,4.2367,NA,4,19
7/12/17,9x,7/12/17,agitator,jeans,no,UV,21.1159,NA,4,19
7/12/17,9x,7/12/17,agitator,100 tshirt,no,UV,3.7212,NA,4,19
7/12/17,9x,7/12/17,agitator,50:50 tshirt,no,UV,8.6434,NA,4,19
7/12/17,9x,7/12/17,agitator,onesie,no,WND,0.6176,NA,4,19
