zcta,city,state,metro,county,price_psf,sale_count,pop_density,population,pov,med_hh_income
81641,Meeker,CO,other,Rio Blanco County,110.730493515826,NA,8.753795495000909e-4,3852,1.8,51.845
80547,Timnath,CO,Fort Collins,Larimer County,179.80280983442,8,0.2471205533842564,1908,0,108.092
80442,Fraser,CO,other,Grand County,345.953525641026,23,0.012397011661135797,2261,4.5,48.629
80440,Fairplay,CO,Denver-Aurora-Lakewood,Park County,247.25,16,0.003430073150036999,2356,4.1,54.688
81615,Snowmass Village,CO,Glenwood Springs,Pitkin County,861.140957190957,11,0.042607749187547686,2827,0,58.233
80482,Winter Park,CO,other,Grand County,455.421686746988,11,0.0031297629126944572,1052,0,85.061
81154,South Fork,CO,other,Rio Grande County,208.664884652642,6,0.0015804474685491387,1093,19.9,47.125
81055,La Veta,CO,other,Huerfano County,142.785172250958,9,0.002116482283658566,1410,6.4,43.235
80467,Oak Creek,CO,Steamboat Springs,Routt County,225.51671717889,11,0.0036293942466768506,2161,3,53.452
80654,Wiggins,CO,Fort Morgan,Morgan County,115.190179771249,2,0.004566097815304125,2688,5,52.047
81415,Crawford,CO,other,Delta County,249.689829260026,NA,0.0017669648074048587,1276,12.8,66.384
81654,Aspen,CO,Glenwood Springs,Pitkin County,741.707945068116,NA,0.006650900240915735,1520,12.5,50.417
81225,Mount Crested Butte,CO,other,Gunnison County,427.891156462585,1,0.006366325812265183,1353,0,56.944
